Account,date,total_pnl,avg_pnl,num_trades,pnl_std,total_size_usd,avg_size_usd,total_fees,long_ratio,num_coins,win_rate,net_pnl,short_ratio,classification,value,is_greed,is_fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,-708.8872295584415,462,5734.473080086226,6842632.02,14810.891818181817,1112.89565,0.3008658008658009,2,0.025974025974025976,-328618.795706,0.699134199134199,Greed,74,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,574.4146960771752,3356,4509.25681820803,54854631.95,16345.241939809297,6292.416654,0.4684147794994041,2,0.40554231227651966,1921443.303381,0.531585220500596,Fear,44,0,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,64.39826904062501,320,214.00588685637516,797679.97,2492.74990625,202.16715108,0.453125,2,0.53125,20405.27894192,0.546875,Greed,74,1,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,4.839718951316161,3533,176.8546695708923,5982611.5,1693.3516841211435,1664.91466962,0.4324936314746674,6,0.43504104160769885,15433.812385379999,0.5675063685253325,Fear,44,0,1
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,-0.2,5,0.28678926060785465,30351.0,6070.2,10.197932,0.4,1,0.0,-11.197932,0.6,Neutral,50,0,0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,358.63204299999995,5,687.2601274797265,159708.30000000002,31941.660000000003,34.662051,0.6,2,0.8,1758.4981639999999,0.4,Greed,74,1,0
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,26.382859345070422,1136,110.84882980936581,12310719.5,10836.90096830986,3644.197056,0.4454225352112676,3,0.43045774647887325,26326.73116,0.5545774647887324,Fear,44,0,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,18.831950867737948,6472,105.02535169179028,3129795.22,483.5901143386898,1079.2967933,0.476823238566131,56,0.4437577255871446,120801.0892227,0.5231767614338689,Greed,74,1,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,1.5359281231969386,6794,120.35238337829021,3622817.7,533.2378127759788,1137.5274581509,0.5307624374448042,64,0.4327347659699735,9297.5682108491,0.4692375625551958,Fear,44,0,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,68.43476991874181,763,369.8834239705992,2244613.0,2941.8256880733943,737.224469,0.399737876802097,18,0.4744429882044561,51478.504979,0.6002621231979031,Greed,74,1,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,47.11139401295022,2471,208.51686847595994,7919556.5600000005,3205.000631323351,2370.023531,0.3528935653581546,32,0.5337919870497774,114042.231075,0.6471064346418454,Fear,44,0,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,0.0,3,0.0,477.0,159.0,0.0,1.0,1,0.0,0.0,0.0,Greed,59,1,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,0.0,2,0.0,46133.87,23066.935,11.072125999999999,1.0,1,0.0,-11.072125999999999,0.0,Greed,69,1,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,-206.07467185185183,27,491.8133748161977,82312.05,3048.5944444444444,3.90258,0.14814814814814814,4,0.3333333333333333,-5567.91872,0.8518518518518519,Extreme Greed,84,1,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,2.696934975,80,9.080898650115833,61379.82,767.24775,37.383029,0.4375,20,0.1,178.371769,0.5625,Neutral,50,0,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,237.13699366025642,156,711.3520498896353,402974.52999999997,2583.170064102564,13.18020052,0.41025641025641024,15,0.46794871794871795,36980.19081048,0.5897435897435898,Greed,74,1,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,-170.05638139828082,349,648.4478606165143,575346.58,1648.5575358166188,56.28775486,0.18911174785100288,9,0.2636103151862464,-59405.964862860004,0.8108882521489971,Fear,44,0,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,242.94015181944445,144,598.5995188247273,655891.22,4554.800138888889,139.65668575,0.4097222222222222,6,0.5277777777777778,34843.72517625,0.5902777777777778,Greed,74,1,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,-5.958334550362845,3445,733.87401539148,16537484.2,4800.430827285922,1319.00044032,0.4612481857764877,11,0.3193033381712627,-21845.46296632,0.5387518142235124,Fear,44,0,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,39.856640251308896,191,103.80150980202319,532207.47,2786.4265445026176,111.57987806,0.5863874345549738,10,0.41361256544502617,7501.03840994,0.4136125654450262,Greed,74,1,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,325.41580819148936,141,1952.1533134444394,611688.99,4338.219787234042,64.694297857,0.41134751773049644,3,0.5602836879432624,45818.934657143,0.5886524822695036,Fear,44,0,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,128.82054872,125,835.4096458786188,810078.52,6480.62816,130.407593,0.144,8,0.216,15972.160997,0.856,Greed,74,1,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,710.8644346589148,258,2633.034124183702,1177449.09,4563.756162790698,137.559495979,0.32170542635658916,8,0.2441860465116279,183265.46464602102,0.6782945736434108,Fear,44,0,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,0.0,88,0.0,99995.52,1136.3127272727272,253.10601,1.0,1,0.0,-253.10601,0.0,Extreme Greed,84,1,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,584.5921621445783,249,1784.4226541201936,438228.42,1759.9534939759035,31.790452000000002,0.012048192771084338,10,0.9518072289156626,145531.657922,0.9879518072289156,Neutral,50,0,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,3731.4073977906974,43,6536.363386025565,289936.95,6742.71976744186,101.476704,0.0,7,0.8837209302325582,160349.041401,1.0,Greed,74,1,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.905862,164.72117118032787,671,569.2821375310906,1883941.47,2807.6623994038746,303.392309,0.3144560357675112,3,0.4828614008941878,110224.513553,0.6855439642324888,Fear,44,0,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,18.6694769711668,3711,87.43456873200968,1834112.91,494.23683912691996,623.1971965500001,0.46833737537052006,50,0.3381837779574239,68659.23184345,0.53166262462948,Greed,74,1,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,7.060534476992871,4629,90.12345028055714,2508697.11,541.9522812702527,594.3893584661,0.49038669259019224,40,0.36552171095268954,32088.824735533897,0.5096133074098077,Fear,44,0,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.167808,186.20782868292682,328,690.833682965998,2769684.87,8444.161189024391,729.438968,0.5579268292682927,2,0.4115853658536585,60346.728839999996,0.44207317073170727,Greed,74,1,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.827224,161.14761619127694,3806,890.8516709013186,34247716.57,8998.349072517078,6908.11976519,0.4721492380451918,10,0.4952706253284288,606419.70745881,0.5278507619548082,Fear,44,0,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,-10.848590454794524,730,840.4448567931676,4540452.9,6219.798493150685,1589.158168,0.48904109589041095,1,0.30684931506849317,-9508.629200000003,0.510958904109589,Extreme Greed,84,1,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,-19.856001786860197,1309,1155.064572916286,13339126.17,10190.317929717341,4668.693244,0.5393430099312452,22,0.3315508021390374,-30660.199583,0.4606569900687548,Neutral,50,0,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,65.31444392660012,1703,280.50640161646953,33455719.11,19645.16682912507,10666.444512,0.5637110980622431,3,0.3282442748091603,100564.053495,0.43628890193775693,Greed,74,1,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089299998,59.93266547845865,3737,480.8630643750043,76490050.69,20468.303636606903,23153.658382999998,0.5638212469895638,1,0.39175809472839174,200814.71250999998,0.4361787530104362,Fear,44,0,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,0.0,223,0.0,727332.09,3261.5788789237668,12.38025211,1.0,1,0.0,-12.38025211,0.0,Greed,74,1,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,69.84622610507184,5777,738.7965526048855,163514779.13,28304.44506318158,28156.73061558,0.4580231954301541,4,0.4156136402977324,375344.91759342,0.5419768045698459,Fear,44,0,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,406.15709612399996,250,859.6929228916874,131367.84,525.47136,36.926673,0.0,1,1.0,101502.347358,1.0,Greed,74,1,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,12.20164487937063,572,41.94293156824354,509692.65,891.0710664335664,120.6785519324,0.6048951048951049,13,0.2692307692307692,6858.6623190676,0.3951048951048951,Fear,44,0,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,1621.5148514455445,202,3372.2073376209764,3294849.97,16311.138465346536,329.484916,0.5148514851485149,1,0.5148514851485149,327216.515076,0.48514851485148514,Greed,74,1,0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,105.43905050751073,932,2821.637291156752,7547409.37,8098.078723175966,1129.21995629,0.3208154506437768,4,0.43991416309012876,97139.97511670999,0.6791845493562232,Fear,44,0,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,123.4787098281623,419,1111.5930672864029,965878.98,2305.200429594272,92.724032,0.026252983293556086,3,0.028639618138424822,51644.855386,0.9737470167064439,Greed,74,1,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,364.15914242918,939,1750.8273737464422,1993872.85,2123.4002662406815,188.51338816,0.6112886048988285,25,0.3961661341853035,341756.92135284,0.3887113951011715,Fear,44,0,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,61.76984024662939,3041,149.94120336030178,11184217.49,3677.8091055573827,405.408361,0.4633344294639921,48,0.8240710292666886,187436.67582899999,0.5366655705360079,Extreme Greed,84,1,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,0.027119999999999995,6,2.6267094047419866,209.5,34.916666666666664,0.047003,0.5,3,0.16666666666666666,0.11571699999999997,0.5,Neutral,50,0,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,36.935366020669285,1016,226.55176950119633,2089293.61,2056.391348425197,292.90635568,0.5364173228346457,19,0.8208661417322834,37233.425521319994,0.4635826771653543,Greed,74,1,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,27.882915847082906,4885,185.74069016231357,11383531.66,2330.3033080859777,1739.321652,0.47512794268167863,38,0.7985670419651996,134468.722261,0.5248720573183214,Fear,44,0,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,9.511868112612612,1554,72.66229924620731,5661783.44,3643.361287001287,771.08185496,0.4420849420849421,7,0.4510939510939511,14010.36119204,0.5579150579150579,Fear,44,0,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,0.0,15,0.0,34998.8,2333.2533333333336,0.12958992,1.0,1,0.0,-0.12958992,0.0,Greed,74,1,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,64.2355343085733,3056,435.4501122865158,6875178.28,2249.731112565445,884.188615,0.32035340314136124,7,0.28763089005235604,195419.604232,0.6796465968586387,Fear,44,0,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,0.21699400000000021,54,21.125093817624666,50397.380000000005,933.2848148148149,4.40687281,0.8703703703703703,3,0.037037037037037035,7.310803190000011,0.12962962962962965,Greed,74,1,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,35.799206413984464,1802,335.0763667642097,11629308.63,6453.556398446171,3297.2099173300003,0.5943396226415094,7,0.3401775804661487,61212.96004067,0.4056603773584906,Fear,44,0,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,-2.3950544160104985,3810,78.35294853365697,2942740.7,772.3728871391077,903.689727,0.4477690288713911,30,0.32545931758530183,-10028.847052000001,0.5522309711286089,Neutral,50,0,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,22.16096336474501,1804,124.56955491150256,2483772.71,1376.8141407982262,810.39821607,0.3464523281596452,22,0.32427937915742794,39167.97969393,0.6535476718403548,Greed,74,1,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,8.2572935,5602,51.753612231319025,3688147.16,658.3625776508391,1182.5227054,0.4378793288111389,87,0.30739021777936454,45074.8354816,0.5621206711888611,Fear,44,0,1
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,12.010162052486187,724,58.56105490431916,2125807.78,2936.1985911602205,157.16795172,0.8867403314917127,4,0.07596685082872928,8538.18937428,0.11325966850828728,Greed,74,1,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,48.31847154230769,2080,180.08684007598768,7134710.2,3430.149134615385,2058.64770854,0.5855769230769231,5,0.3903846153846154,98443.77309946,0.4144230769230769,Fear,44,0,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,11.679105885062931,4211,44.79624139093814,6889828.6,1636.15022559962,481.711535,0.56946093564474,2,0.418665400142484,48699.003347,0.43053906435526,Greed,74,1,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,4.347078716195816,9274,82.47966271582827,10738173.13,1157.8793541082598,1635.555628,0.6609877075695493,12,0.32003450506793185,38679.252386,0.3390122924304507,Fear,44,0,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,-371.9360448717949,39,1746.6298094939443,307215.74,7877.326666666667,138.24399527,0.7948717948717948,4,0.0,-14643.74974527,0.20512820512820518,Neutral,50,0,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,239.93020333922263,283,939.4915316840138,476629.33,1684.2025795053005,29.20086424,0.4416961130742049,7,0.5477031802120141,67871.04668076,0.558303886925795,Greed,74,1,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,204.75518396842105,95,444.24146451377845,77964.33,820.6771578947369,22.493145000000002,0.0,4,0.8842105263157894,19429.249332,1.0,Fear,44,0,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,110.13428011578948,190,306.4946905656611,643594.44,3387.3391578947367,201.36228461,0.4421052631578947,2,0.5526315789473685,20724.15093739,0.5578947368421052,Greed,74,1,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,48.08654642307692,182,207.29073772267026,559278.3,3072.9576923076925,187.917346,0.7307692307692307,3,0.2692307692307692,8563.834103,0.2692307692307693,Fear,44,0,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,6.1128044444444445,9,13.591345427943391,16766.37,1862.9299999999998,3.659253,0.7777777777777778,2,0.2222222222222222,51.355987,0.2222222222222222,Greed,74,1,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,41.34060288190476,525,290.6902596154581,4431556.89,8441.060742857142,538.0863564464,0.5657142857142857,4,0.3238095238095238,21165.730156553596,0.4342857142857143,Fear,44,0,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,0.14909238446788106,1043,105.19292019897073,11509295.89,11034.799511025887,2783.498528,0.46883988494726747,19,0.2751677852348993,-2627.995171,0.5311601150527325,Greed,69,1,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,0.8474950442132638,3076,133.26355146729097,23499792.29,7639.724411573472,4561.206114,0.49187256176853056,36,0.21879063719115735,-1954.311358,0.5081274382314694,Extreme Greed,84,1,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,38.09262422398053,1643,250.84436530527708,4723983.0,2875.2178940961658,2953.83210411,0.6202069385270846,18,0.20998174071819842,59632.349495890005,0.37979306147291536,Neutral,50,0,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1121.2585535260253,1268,4099.912471917345,2746705.92,2166.171861198738,812.141368,0.1167192429022082,12,0.5670347003154574,1420943.704503,0.8832807570977919,Greed,74,1,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,75.04308949390244,7380,783.0558722243476,13421173.84,1818.587241192412,4707.64902071,0.4711382113821138,13,0.3910569105691057,549110.35144429,0.5288617886178861,Fear,44,0,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,4.648305254443986,4838,332.0834053908585,108877041.1,22504.555828854896,28643.173715,0.48945845390657294,7,0.4386109962794543,-6154.672893999999,0.5105415460934271,Fear,44,0,1
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,44.36796662019821,21190,567.7894170155964,68036326.2,3210.7751864086836,8596.700755219,0.5283152430391694,3,0.46753185464841907,931560.511926781,0.47168475696083056,Fear,44,0,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,43.71415730337079,267,182.70790401590924,727783.42,2725.7805992509366,81.227387,0.18352059925093633,2,0.15355805243445692,11590.452613,0.8164794007490637,Greed,74,1,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,147.19221040976933,2211,1598.4388451215825,17917884.11,8103.972912709181,3999.85393243,0.4767073722297603,26,0.3722297602894618,321442.12328357,0.5232926277702397,Fear,44,0,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,69.23150891449964,9883,519.6044372535811,26617723.76,2693.2837964180917,2512.00733119,0.3128604674693919,14,0.5692603460487706,681702.99527081,0.6871395325306081,Greed,74,1,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,4.764098013808112,26651,61.24270601241904,41437969.8,1554.8373344339798,9512.31758037,0.4715770515177667,14,0.3848636073693295,117455.65858563,0.5284229484822334,Fear,44,0,1
